Kategorie: Alle Kategorien

Woche,Barcelona attractions: (Weltweit)
Woche,La Sagrada Família: (Weltweit)
2023-01-01,53
2023-01-08,65
2023-01-15,53
2023-01-22,37
2023-01-29,69
2023-02-05,64
2023-02-12,60
2023-02-19,90
2023-02-26,81
2023-03-05,73
2023-03-12,70
2023-03-19,50
2023-03-26,67
2023-04-02,82
2023-04-09,89
2023-04-16,76
2023-04-23,65
2023-04-30,95
2023-05-07,58
2023-05-14,82
2023-05-21,62
2023-05-28,62
2023-06-04,80
2023-06-11,81
2023-06-18,56
2023-06-25,50
2023-07-02,43
2023-07-09,57
2023-07-16,62
2023-07-23,48
2023-07-30,62
2023-08-06,76
2023-08-13,61
2023-08-20,50
2023-08-27,69
2023-09-03,59
2023-09-10,82
2023-09-17,70
2023-09-24,53
2023-10-01,65
2023-10-08,92
2023-10-15,71
2023-10-22,75
2023-10-29,88
2023-11-05,75
2023-11-12,100
2023-11-19,62
2023-11-26,82
2023-12-03,70
2023-12-10,69
2023-12-17,78
2023-12-24,46
2023-12-31,54
Kategorie: Alle Kategorien

Woche,Madrid day trips: (Weltweit)
2023-01-01,69
2023-01-08,93
2023-01-15,98
2023-01-22,98
2023-01-29,71
2023-02-05,90
2023-02-12,72
2023-02-19,68
2023-02-26,80
2023-03-05,70
2023-03-12,69
2023-03-19,65
2023-03-26,86
2023-04-02,68
2023-04-09,80
2023-04-16,71
2023-04-23,94
2023-04-30,66
2023-05-07,64
2023-05-14,59
2023-05-21,80
2023-05-28,43
2023-06-04,59
2023-06-11,76
2023-06-18,99
2023-06-25,100
2023-07-02,79
2023-07-09,69
2023-07-16,55
2023-07-23,71
2023-07-30,48
2023-08-06,85
2023-08-13,71
2023-08-20,87
2023-08-27,56
2023-09-03,67
2023-09-10,71
2023-09-17,89
2023-09-24,68
2023-10-01,71
2023-10-08,77
2023-10-15,66
2023-10-22,39
2023-10-29,59
2023-11-05,58
2023-11-12,62
2023-11-19,55
2023-11-26,60
2023-12-03,62
2023-12-10,31
2023-12-17,45
2023-12-24,59
2023-12-31,56
Kategorie: Alle Kategorien

Woche,national parks in Spain: (Weltweit)
2023-01-01,0
2023-01-08,94
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,73
2023-03-26,0
2023-04-02,100
2023-04-09,71
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,94
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,92
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
Kategorie: Alle Kategorien

Woche,Park Güell: (Weltweit)
2023-01-01,47
2023-01-08,37
2023-01-15,42
2023-01-22,35
2023-01-29,44
2023-02-05,42
2023-02-12,48
2023-02-19,57
2023-02-26,51
2023-03-05,62
2023-03-12,59
2023-03-19,59
2023-03-26,68
2023-04-02,94
2023-04-09,88
2023-04-16,75
2023-04-23,73
2023-04-30,73
2023-05-07,69
2023-05-14,80
2023-05-21,73
2023-05-28,70
2023-06-04,73
2023-06-11,63
2023-06-18,65
2023-06-25,68
2023-07-02,73
2023-07-09,72
2023-07-16,78
2023-07-23,83
2023-07-30,88
2023-08-06,81
2023-08-13,84
2023-08-20,85
2023-08-27,88
2023-09-03,82
2023-09-10,79
2023-09-17,81
2023-09-24,81
2023-10-01,100
2023-10-08,81
2023-10-15,75
2023-10-22,72
2023-10-29,81
2023-11-05,55
2023-11-12,59
2023-11-19,46
2023-11-26,46
2023-12-03,40
2023-12-10,33
2023-12-17,40
2023-12-24,52
2023-12-31,60
Kategorie: Alle Kategorien

Woche,Picos de Europa: (Weltweit)
2023-01-01,3
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,4
2023-03-26,4
2023-04-02,5
2023-04-09,4
2023-04-16,3
2023-04-23,4
2023-04-30,4
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,5
2023-06-11,5
2023-06-18,5
2023-06-25,6
2023-07-02,6
2023-07-09,6
2023-07-16,6
2023-07-23,7
2023-07-30,8
2023-08-06,8
2023-08-13,7
2023-08-20,6
2023-08-27,5
2023-09-03,5
2023-09-10,9
2023-09-17,100
2023-09-24,5
2023-10-01,4
2023-10-08,4
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,3
2023-12-10,3
2023-12-17,2
2023-12-24,3
2023-12-31,3
Kategorie: Alle Kategorien

Woche,Prado Museum: (Weltweit)
2023-01-01,72
2023-01-08,63
2023-01-15,68
2023-01-22,64
2023-01-29,60
2023-02-05,78
2023-02-12,89
2023-02-19,82
2023-02-26,84
2023-03-05,79
2023-03-12,86
2023-03-19,80
2023-03-26,81
2023-04-02,90
2023-04-09,84
2023-04-16,89
2023-04-23,93
2023-04-30,92
2023-05-07,80
2023-05-14,91
2023-05-21,90
2023-05-28,78
2023-06-04,86
2023-06-11,87
2023-06-18,81
2023-06-25,78
2023-07-02,80
2023-07-09,85
2023-07-16,80
2023-07-23,70
2023-07-30,72
2023-08-06,76
2023-08-13,75
2023-08-20,73
2023-08-27,79
2023-09-03,83
2023-09-10,83
2023-09-17,100
2023-09-24,97
2023-10-01,100
2023-10-08,96
2023-10-15,87
2023-10-22,88
2023-10-29,92
2023-11-05,80
2023-11-12,82
2023-11-19,81
2023-11-26,66
2023-12-03,70
2023-12-10,56
2023-12-17,59
2023-12-24,80
2023-12-31,83
Kategorie: Alle Kategorien

Woche,river cruises Spain: (Weltweit)
2023-01-01,58
2023-01-08,100
2023-01-15,60
2023-01-22,93
2023-01-29,97
2023-02-05,60
2023-02-12,60
2023-02-19,59
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,58
2023-04-02,0
2023-04-09,69
2023-04-16,0
2023-04-23,0
2023-04-30,86
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,86
2023-06-04,90
2023-06-11,66
2023-06-18,0
2023-06-25,60
2023-07-02,67
2023-07-09,94
2023-07-16,59
2023-07-23,65
2023-07-30,0
2023-08-06,66
2023-08-13,71
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,66
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,55
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,76
2023-12-03,69
2023-12-10,0
2023-12-17,62
2023-12-24,0
2023-12-31,0
Kategorie: Alle Kategorien

Woche,Royal Palace of Madrid: (Weltweit)
2023-01-01,52
2023-01-08,55
2023-01-15,63
2023-01-22,49
2023-01-29,60
2023-02-05,52
2023-02-12,56
2023-02-19,72
2023-02-26,61
2023-03-05,96
2023-03-12,90
2023-03-19,98
2023-03-26,81
2023-04-02,89
2023-04-09,76
2023-04-16,78
2023-04-23,75
2023-04-30,73
2023-05-07,89
2023-05-14,83
2023-05-21,73
2023-05-28,87
2023-06-04,98
2023-06-11,86
2023-06-18,70
2023-06-25,95
2023-07-02,67
2023-07-09,78
2023-07-16,82
2023-07-23,52
2023-07-30,80
2023-08-06,54
2023-08-13,69
2023-08-20,75
2023-08-27,84
2023-09-03,75
2023-09-10,96
2023-09-17,78
2023-09-24,94
2023-10-01,100
2023-10-08,93
2023-10-15,84
2023-10-22,94
2023-10-29,79
2023-11-05,92
2023-11-12,76
2023-11-19,70
2023-11-26,65
2023-12-03,73
2023-12-10,58
2023-12-17,71
2023-12-24,62
2023-12-31,68
Kategorie: Alle Kategorien

Woche,Sagrada Familia: (Weltweit)
2023-01-01,74
2023-01-08,70
2023-01-15,67
2023-01-22,65
2023-01-29,72
2023-02-05,70
2023-02-12,73
2023-02-19,74
2023-02-26,68
2023-03-05,74
2023-03-12,73
2023-03-19,76
2023-03-26,78
2023-04-02,84
2023-04-09,83
2023-04-16,89
2023-04-23,87
2023-04-30,83
2023-05-07,78
2023-05-14,80
2023-05-21,88
2023-05-28,78
2023-06-04,80
2023-06-11,75
2023-06-18,75
2023-06-25,74
2023-07-02,76
2023-07-09,77
2023-07-16,75
2023-07-23,73
2023-07-30,77
2023-08-06,86
2023-08-13,77
2023-08-20,77
2023-08-27,80
2023-09-03,82
2023-09-10,81
2023-09-17,82
2023-09-24,80
2023-10-01,94
2023-10-08,79
2023-10-15,82
2023-10-22,82
2023-10-29,75
2023-11-05,76
2023-11-12,97
2023-11-19,100
2023-11-26,91
2023-12-03,85
2023-12-10,81
2023-12-17,75
2023-12-24,100
2023-12-31,88
Kategorie: Alle Kategorien

Woche,Santiago de Compostela Cathedral: (Weltweit)
2023-01-01,28
2023-01-08,36
2023-01-15,39
2023-01-22,39
2023-01-29,52
2023-02-05,41
2023-02-12,43
2023-02-19,51
2023-02-26,34
2023-03-05,55
2023-03-12,46
2023-03-19,46
2023-03-26,48
2023-04-02,57
2023-04-09,60
2023-04-16,60
2023-04-23,77
2023-04-30,59
2023-05-07,74
2023-05-14,75
2023-05-21,80
2023-05-28,75
2023-06-04,68
2023-06-11,72
2023-06-18,74
2023-06-25,62
2023-07-02,66
2023-07-09,47
2023-07-16,54
2023-07-23,81
2023-07-30,44
2023-08-06,60
2023-08-13,71
2023-08-20,72
2023-08-27,55
2023-09-03,58
2023-09-10,76
2023-09-17,100
2023-09-24,100
2023-10-01,95
2023-10-08,67
2023-10-15,60
2023-10-22,71
2023-10-29,66
2023-11-05,63
2023-11-12,45
2023-11-19,46
2023-11-26,51
2023-12-03,41
2023-12-10,44
2023-12-17,21
2023-12-24,30
2023-12-31,30
Kategorie: Alle Kategorien

Woche,Spain boutique hotel: (Weltweit)
2023-01-01,64
2023-01-08,90
2023-01-15,79
2023-01-22,75
2023-01-29,92
2023-02-05,75
2023-02-12,75
2023-02-19,52
2023-02-26,78
2023-03-05,82
2023-03-12,49
2023-03-19,98
2023-03-26,82
2023-04-02,68
2023-04-09,73
2023-04-16,75
2023-04-23,85
2023-04-30,96
2023-05-07,62
2023-05-14,76
2023-05-21,85
2023-05-28,86
2023-06-04,62
2023-06-11,92
2023-06-18,75
2023-06-25,83
2023-07-02,88
2023-07-09,70
2023-07-16,60
2023-07-23,90
2023-07-30,73
2023-08-06,80
2023-08-13,100
2023-08-20,69
2023-08-27,59
2023-09-03,73
2023-09-10,59
2023-09-17,47
2023-09-24,75
2023-10-01,60
2023-10-08,56
2023-10-15,47
2023-10-22,76
2023-10-29,48
2023-11-05,34
2023-11-12,32
2023-11-19,56
2023-11-26,36
2023-12-03,39
2023-12-10,45
2023-12-17,35
2023-12-24,67
2023-12-31,65
Kategorie: Alle Kategorien

Woche,Spain itinerary: (Weltweit)
2023-01-01,83
2023-01-08,87
2023-01-15,76
2023-01-22,76
2023-01-29,70
2023-02-05,76
2023-02-12,69
2023-02-19,74
2023-02-26,79
2023-03-05,70
2023-03-12,67
2023-03-19,78
2023-03-26,72
2023-04-02,76
2023-04-09,71
2023-04-16,70
2023-04-23,76
2023-04-30,75
2023-05-07,69
2023-05-14,59
2023-05-21,69
2023-05-28,65
2023-06-04,68
2023-06-11,65
2023-06-18,65
2023-06-25,70
2023-07-02,81
2023-07-09,76
2023-07-16,66
2023-07-23,68
2023-07-30,61
2023-08-06,72
2023-08-13,59
2023-08-20,62
2023-08-27,63
2023-09-03,59
2023-09-10,65
2023-09-17,55
2023-09-24,60
2023-10-01,53
2023-10-08,52
2023-10-15,50
2023-10-22,49
2023-10-29,49
2023-11-05,49
2023-11-12,56
2023-11-19,50
2023-11-26,48
2023-12-03,46
2023-12-10,48
2023-12-17,64
2023-12-24,75
2023-12-31,100
Kategorie: Alle Kategorien

Woche,Spain public transportation: (Weltweit)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,100
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,60
2023-04-02,0
2023-04-09,57
2023-04-16,66
2023-04-23,0
2023-04-30,0
2023-05-07,73
2023-05-14,81
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,77
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
Kategorie: Alle Kategorien

Woche,Spain travel guide: (Weltweit)
2023-01-01,74
2023-01-08,70
2023-01-15,87
2023-01-22,83
2023-01-29,95
2023-02-05,63
2023-02-12,40
2023-02-19,88
2023-02-26,100
2023-03-05,54
2023-03-12,79
2023-03-19,75
2023-03-26,73
2023-04-02,92
2023-04-09,51
2023-04-16,86
2023-04-23,95
2023-04-30,73
2023-05-07,61
2023-05-14,91
2023-05-21,73
2023-05-28,69
2023-06-04,59
2023-06-11,58
2023-06-18,75
2023-06-25,58
2023-07-02,81
2023-07-09,39
2023-07-16,60
2023-07-23,71
2023-07-30,62
2023-08-06,63
2023-08-13,47
2023-08-20,59
2023-08-27,35
2023-09-03,52
2023-09-10,52
2023-09-17,43
2023-09-24,49
2023-10-01,52
2023-10-08,45
2023-10-15,76
2023-10-22,53
2023-10-29,53
2023-11-05,51
2023-11-12,40
2023-11-19,39
2023-11-26,0
2023-12-03,55
2023-12-10,41
2023-12-17,38
2023-12-24,0
2023-12-31,67
Kategorie: Alle Kategorien

Woche,Spain travel restrictions: (Weltweit)
2023-01-01,85
2023-01-08,98
2023-01-15,100
2023-01-22,77
2023-01-29,50
2023-02-05,64
2023-02-12,54
2023-02-19,43
2023-02-26,60
2023-03-05,64
2023-03-12,44
2023-03-19,47
2023-03-26,51
2023-04-02,49
2023-04-09,61
2023-04-16,32
2023-04-23,48
2023-04-30,37
2023-05-07,49
2023-05-14,49
2023-05-21,39
2023-05-28,32
2023-06-04,22
2023-06-11,28
2023-06-18,21
2023-06-25,21
2023-07-02,33
2023-07-09,29
2023-07-16,30
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,38
2023-09-03,38
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
Kategorie: Alle Kategorien

Woche,Spain visa requirements: (Weltweit)
2023-01-01,90
2023-01-08,90
2023-01-15,73
2023-01-22,90
2023-01-29,83
2023-02-05,100
2023-02-12,79
2023-02-19,83
2023-02-26,84
2023-03-05,92
2023-03-12,80
2023-03-19,82
2023-03-26,78
2023-04-02,87
2023-04-09,81
2023-04-16,75
2023-04-23,100
2023-04-30,90
2023-05-07,87
2023-05-14,97
2023-05-21,87
2023-05-28,96
2023-06-04,68
2023-06-11,83
2023-06-18,89
2023-06-25,74
2023-07-02,94
2023-07-09,87
2023-07-16,92
2023-07-23,98
2023-07-30,79
2023-08-06,90
2023-08-13,93
2023-08-20,86
2023-08-27,74
2023-09-03,93
2023-09-10,72
2023-09-17,71
2023-09-24,82
2023-10-01,77
2023-10-08,67
2023-10-15,69
2023-10-22,72
2023-10-29,75
2023-11-05,74
2023-11-12,64
2023-11-19,63
2023-11-26,71
2023-12-03,74
2023-12-10,73
2023-12-17,59
2023-12-24,81
2023-12-31,91
Kategorie: Alle Kategorien

Woche,Spanish countryside: (Weltweit)
2023-01-01,0
2023-01-08,42
2023-01-15,44
2023-01-22,61
2023-01-29,55
2023-02-05,0
2023-02-12,62
2023-02-19,37
2023-02-26,80
2023-03-05,55
2023-03-12,75
2023-03-19,72
2023-03-26,62
2023-04-02,49
2023-04-09,62
2023-04-16,57
2023-04-23,88
2023-04-30,73
2023-05-07,81
2023-05-14,53
2023-05-21,96
2023-05-28,54
2023-06-04,74
2023-06-11,57
2023-06-18,41
2023-06-25,46
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,48
2023-08-06,60
2023-08-13,53
2023-08-20,0
2023-08-27,0
2023-09-03,58
2023-09-10,47
2023-09-17,71
2023-09-24,100
2023-10-01,94
2023-10-08,59
2023-10-15,51
2023-10-22,49
2023-10-29,64
2023-11-05,0
2023-11-12,55
2023-11-19,59
2023-11-26,53
2023-12-03,61
2023-12-10,46
2023-12-17,41
2023-12-24,0
2023-12-31,63
Kategorie: Alle Kategorien

Woche,Spanish cuisine: (Weltweit)
2023-01-01,70
2023-01-08,70
2023-01-15,84
2023-01-22,67
2023-01-29,79
2023-02-05,89
2023-02-12,69
2023-02-19,77
2023-02-26,88
2023-03-05,79
2023-03-12,76
2023-03-19,100
2023-03-26,92
2023-04-02,67
2023-04-09,83
2023-04-16,90
2023-04-23,76
2023-04-30,95
2023-05-07,89
2023-05-14,78
2023-05-21,75
2023-05-28,75
2023-06-04,66
2023-06-11,65
2023-06-18,73
2023-06-25,68
2023-07-02,67
2023-07-09,65
2023-07-16,53
2023-07-23,58
2023-07-30,51
2023-08-06,61
2023-08-13,63
2023-08-20,71
2023-08-27,68
2023-09-03,66
2023-09-10,78
2023-09-17,74
2023-09-24,83
2023-10-01,77
2023-10-08,60
2023-10-15,86
2023-10-22,77
2023-10-29,63
2023-11-05,72
2023-11-12,67
2023-11-19,72
2023-11-26,71
2023-12-03,76
2023-12-10,70
2023-12-17,60
2023-12-24,56
2023-12-31,56
Kategorie: Alle Kategorien

Woche,tipping in Spain: (Weltweit)
2023-01-01,0
2023-01-08,29
2023-01-15,35
2023-01-22,30
2023-01-29,0
